Bureau of Justice Statistics,,,,,,,,,,,,,,,,
"Report Title: Estimated number of persons under correctional supervision in the U.S., 1980-2013",,,,,,,,,,,,,,,,
Data source: National Prisoner Statistics (NPS) Program,,,,,,,,,,,,,,,,
Date of Version: 8/20/2015,,,,,,,,,,,,,,,,
Refer questions to; askbjs@usdoj.gov 202-207-0765,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Estimated number of persons under correctional supervision in the U.S., 1980-2013",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Total Correctional Population/a,,Incarcerated,,,,,,Community Corrections,,,,,,,
Year,,,Jail,Prison,State prison,Federal prison,Total/b,,Probation,Parole,Total/c,,,,,
1980," 1,842,100 ",," 184,000 ","329,821","305,458","24,363","503,600",,"1,118,100","220,400","1,338,500",,,,,
1981," 2,002,600 ",," 196,800 ","369,930","341,797","28,133","556,800",,"1,222,000","223,800","1,445,800",,,,,
1982," 2,191,700 ",," 209,600 ","413,806","384,133","29,673","612,500",,"1,335,400","243,900","1,579,200",,,,,
1983," 2,401,400 ",," 223,600 ","436,855","404,929","31,926","647,400",,"1,502,200","251,700","1,754,000",,,,,
1984," 2,662,500 ",," 234,500 ","462,002","427,739","34,263","682,800",,"1,711,200","268,500","1,979,700",,,,,
1985," 2,891,800 ",," 256,600 ","502,507","462,284","40,223","744,200",,"1,870,100","277,400","2,147,600",,,,,
1986," 3,236,100 ",," 274,400 ","544,972","500,564","44,408","815,000",,"2,094,400","326,800","2,421,200",,,,,
1987," 3,462,900 ",," 295,900 ","585,084","536,784","48,300","858,700",,"2,242,100","362,200","2,604,200",,,,,
1988," 3,714,800 ",," 343,600 ","627,600","577,672","49,928","950,400",,"2,356,500","408,000","2,764,500",,,,,
1989," 4,056,200 ",," 395,600 ","712,364","653,193","59,171","1,078,900",,"2,520,500","456,800","2,977,300",,,,,
1990," 4,350,300 ",," 405,300 ","773,919","708,393","65,526","1,148,700",,"2,670,200","531,400","3,201,600",,,,,
1991," 4,540,100 ",," 426,500 ","825,559","753,951","71,608","1,219,000",,"2,738,200","582,800","3,321,000",,,,,
1992," 4,735,600 ",," 444,600 ","882,500","802,241","80,259","1,295,200",,"2,806,200","634,300","3,440,500",,,,,
1993," 4,884,100 ",," 459,800 ","969,301","879,714","89,587","1,369,200",,"2,843,400","671,500","3,514,900",,,,,
1994," 5,131,000 ",," 486,500 ","1,054,702","959,668","95,034","1,476,600",,"2,964,200","690,200","3,654,300",,,,,
1995," 5,382,300 ",," 507,000 ","1,125,874","1,025,624","100,250","1,585,600",,"3,096,500","700,200","3,796,700",,,,,
1996," 5,531,300 ",," 518,500 ","1,181,919","1,076,375","105,544","1,646,300",,"3,180,400","704,700","3,885,100",,,,,
1997," 5,701,200 ",," 567,100 ","1,240,659","1,127,686","112,973","1,743,600",,"3,266,800","690,800","3,957,600",,,,,
1998," 5,888,200 ",," 592,500 ","1,307,154","1,184,113","123,041","1,815,200",,"3,417,600","705,000","4,122,600",,,,,
1999," 6,349,200 ",," 605,900 ","1,363,686","1,228,440","135,246","1,910,400",,"3,772,800","712,700","4,485,500",,,,,
2000," 6,467,900 ",," 621,100 ","1,394,231","1,248,815","145,416","1,945,400",,"3,839,500","725,500","4,565,100",,,,,
2001," 6,585,000 ",," 631,200 ","1,404,032","1,247,039","156,993","1,962,800",,"3,934,700","731,100","4,665,900",,,,,
2002," 6,731,100 ",," 665,500 ","1,440,144","1,276,616","163,528","2,033,100",,"3,995,200","753,100","4,748,300",,,,,
2003," 6,887,000 ",," 691,300 ","1,468,601","1,295,542","173,059","2,086,500",,"4,074,000","773,500","4,847,500",,,,,
2004," 6,997,200 ",," 714,000 ","1,497,100","1,316,772","180,328","2,136,600",,"4,140,600","775,900","4,916,500",,,,,
2005," 7,055,800 ",," 747,500 ","1,525,910","1,338,292","187,618","2,200,400",,"4,162,500","784,400","4,946,800",,,,,
2006," 7,199,800 ",," 765,800 ","1,568,674","1,375,628","193,046","2,256,600",,"4,237,000","798,200","5,035,200",,,,,
2007," 7,339,900 ",," 780,200 ","1,596,835","1,397,217","199,618","2,296,400",,"4,293,200","826,100","5,119,300",,,,,
2008," 7,314,400 ",," 785,500 ","1,608,282","1,407,002","201,280","2,310,300",,"4,270,900","828,200","5,095,200",,,,,
